prb_alloc,DRB.UEThpUl,target_prb_ratio
12,1355.0,66
48,4239.0,66
52,4744.0,66
91,5562.0,66
30,2665.0,66
97,5508.0,66
87,5719.0,66
83,5588.0,66
8,932.0,66
45,3975.0,66
8,923.0,66
50,4471.0,66
32,2745.0,66
50,4480.0,66
68,5533.0,66
30,2653.0,66
70,5606.0,66
42,3738.0,66
71,5453.0,66
5,370.0,66
60,5257.0,66
69,5524.0,66
71,5691.0,66
31,2735.0,66
73,5520.0,66
64,5545.0,66
61,5286.0,66
71,5522.0,66
13,1359.0,66
13,1357.0,66
5,363.0,66
28,2652.0,66
74,5728.0,66
26,2470.0,66
84,5499.0,66
14,1361.0,66
10,1212.0,66
66,5718.0,66
21,2068.0,66
64,5455.0,66
18,1959.0,66
25,2477.0,66
4,369.0,66
81,5606.0,66
70,5310.0,66
97,5757.0,66
26,2422.0,66
82,5594.0,66
37,3322.0,66
9,914.0,66
87,5378.0,66
25,2506.0,66
67,5470.0,66
24,2456.0,66
63,5514.0,66
26,2515.0,66
26,2469.0,66
99,6021.0,66
38,3318.0,66
6,714.0,66
93,6503.0,66
64,5555.0,66
9,929.0,66
63,5523.0,66
8,923.0,66
20,2101.0,66
18,1935.0,66
28,2639.0,66
70,5674.0,66
12,1362.0,66
79,5587.0,66
91,5337.0,66
94,5530.0,66
69,5491.0,66
71,5547.0,66
11,1208.0,66
43,3835.0,66
52,4766.0,66
87,5278.0,66
94,5366.0,66
8,937.0,66
48,4222.0,66
68,5647.0,66
55,4851.0,66
99,5330.0,66
13,1361.0,66
1,0.0,66
31,2741.0,66
72,5461.0,66
77,5610.0,66
64,5618.0,66
82,5668.0,66
90,5110.0,66
5,370.0,66
79,5684.0,66
76,5688.0,66
2,0.0,66
68,5571.0,66
89,4729.0,66
88,5624.0,66
89,4757.0,66
76,5439.0,66
11,1206.0,66
16,1629.0,66
4,368.0,66
68,5596.0,66
4,370.0,66
74,5468.0,66
31,2734.0,66
57,4921.0,66
74,5562.0,66
72,5488.0,66
48,4229.0,66
47,4242.0,66
67,5551.0,66
56,4920.0,66
71,5349.0,66
58,5166.0,66
67,5641.0,66
94,5150.0,66
72,5446.0,66
70,5476.0,66
81,5530.0,66
23,2317.0,66
5,368.0,66
3,0.0,66
42,3754.0,66
34,2941.0,66
85,5708.0,66
81,5437.0,66
2,0.0,66
33,2940.0,66
61,5274.0,66
81,5622.0,66
34,2928.0,66
74,5577.0,66
51,4447.0,66
82,5606.0,66
36,3187.0,66
94,5369.0,66
70,5626.0,66
38,3329.0,66
98,5431.0,66
33,2936.0,66
77,5477.0,66
62,5502.0,66
36,3180.0,66
2,0.0,66
51,4462.0,66
36,3177.0,66
17,1540.0,66
1,0.0,66
33,2929.0,66
2,0.0,66
88,5495.0,66
96,5556.0,66
52,4779.0,66
66,5657.0,66
77,5519.0,66
96,5446.0,66
66,5686.0,66
97,5382.0,66
11,1208.0,66
27,2671.0,66
57,4970.0,66
57,4966.0,66
3,0.0,66
75,5685.0,66
54,4827.0,66
54,4842.0,66
52,4774.0,66
53,4752.0,66
30,2640.0,66
96,5165.0,66
17,1646.0,66
48,4217.0,66
16,1607.0,66
29,2649.0,66
57,4941.0,66
25,2475.0,66
27,2675.0,66
62,5494.0,66
32,2737.0,66
61,5274.0,66
27,2685.0,66
99,5945.0,66
27,2656.0,66
19,1954.0,66
10,1207.0,66
80,5544.0,66
78,5546.0,66
43,3877.0,66
23,2363.0,66
22,2382.0,66
95,5695.0,66
37,3286.0,66
39,3522.0,66
10,1213.0,66
40,3497.0,66
53,4743.0,66
57,4935.0,66
91,5877.0,66
48,4226.0,66
89,5662.0,66
15,1358.0,66
43,3856.0,66
5,369.0,66
74,5515.0,66
12,1358.0,66
20,2068.0,66
3,0.0,66
99,5501.0,66
50,4442.0,66
36,3181.0,66
77,5504.0,66
20,2107.0,66
35,3192.0,66
28,2632.0,66
50,4436.0,66
90,5925.0,66
47,4236.0,66
15,1362.0,66
85,5557.0,66
98,5608.0,66
80,5554.0,66
68,5447.0,66
48,4225.0,66
55,4845.0,66
